id,nombre,categoria,n_comparten,marcas_en_grupo,imagen
1528,Tub Rect Neg 30 x 20 X1.5 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
1529,Tub Rect Neg 30 x 20 X2.0 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
1530,Tub Rect Neg 40 x 20 X1.5 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
1531,Tub Rect Neg 40 x 20 X2.0 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
1532,Tub Rect Neg 40 x 30 X1.5 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
1533,Tub Rect Neg 40 x 30 X2.0 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
1534,Tub Rect Neg 50 x 20 X1.5 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
1535,Tub Rect Neg 50 x 20 X2.0 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
1536,Tub Rect Neg 50 x 30 X1.5 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
1537,Tub Rect Neg 50 x 30 X2.0 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
1538,Tub Rect Neg 50 x 30 X3.0 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
1539,"Tub Rect Neg 60 x 40 X1,5 MM",Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
1540,Tub Rect Neg 60 x 40 X2.0 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
1541,Tub Rect Neg 60 x 40 X3.0 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
1542,"Tub Rect Neg 70 x 30 X1,5 MM",Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
1543,"Tub Rect Neg 70 x 30 X2,0 MM",Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
1544,Tub Rect Neg 80 x 40 X2.0 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
1545,Tub Rect Neg 80 x 40 X3.0 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
2237,Tub Rect Neg 25 x 15 X1.5 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
2238,Tub Rect Neg 30 x 20 X1.5 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
2239,Tub Rect Neg 30 x 20 X2.0 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
2240,Tub Rect Neg 40 x 20 X1.5 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
2241,Tub Rect Neg 40 x 20 X2.0 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
2242,Tub Rect Neg 40 x 30 X1.5 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
2243,Tub Rect Neg 40 x 30 X2.0 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
2244,Tub Rect Neg 50 x 20 X1.5 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
2245,Tub Rect Neg 50 x 20 X2.0 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
2246,Tub Rect Neg 50 x 30 X1.5 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
2247,Tub Rect Neg 50 x 30 X2.0 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
2248,Tub Rect Neg 50 x 30 X3.0 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
2249,"Tub Rect Neg 60 x 40 X1,5 MM",Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
2250,Tub Rect Neg 60 x 40 X2.0 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
2251,Tub Rect Neg 60 x 40 X3.0 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
2252,"Tub Rect Neg 70 x 30 X1,5 MM",Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
2253,"Tub Rect Neg 70 x 30 X2,0 MM",Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
2254,Tub Rect Neg 80 x 40 X2.0 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
2255,Tub Rect Neg 80 x 40 X3.0 MM,Perfiles y Planchas,37,,https://http2.mlstatic.com/D_Q_NP_2X_910850-MLC53282565834_012023-E.webp
1808,"Oring 10,5x2,7",Fijaciones,33,,https://http2.mlstatic.com/D_Q_NP_2X_735261-CBT108836001427_032026-E-sellos-hidraulicos-con-junta-torica-nbr-90-sello-de-goma-de.webp
1809,"Oring 10,78x2,62",Fijaciones,33,,https://http2.mlstatic.com/D_Q_NP_2X_735261-CBT108836001427_032026-E-sellos-hidraulicos-con-junta-torica-nbr-90-sello-de-goma-de.webp
1810,"Oring 12,1x2,7",Fijaciones,33,,https://http2.mlstatic.com/D_Q_NP_2X_735261-CBT108836001427_032026-E-sellos-hidraulicos-con-junta-torica-nbr-90-sello-de-goma-de.webp
1811,"Oring 12,37x2,62",Fijaciones,33,,https://http2.mlstatic.com/D_Q_NP_2X_735261-CBT108836001427_032026-E-sellos-hidraulicos-con-junta-torica-nbr-90-sello-de-goma-de.webp
1812,"Oring 13,6x2,7",Fijaciones,33,,https://http2.mlstatic.com/D_Q_NP_2X_735261-CBT108836001427_032026-E-sellos-hidraulicos-con-junta-torica-nbr-90-sello-de-goma-de.webp
1813,"Oring 13,95x2,62",Fijaciones,33,,https://http2.mlstatic.com/D_Q_NP_2X_735261-CBT108836001427_032026-E-sellos-hidraulicos-con-junta-torica-nbr-90-sello-de-goma-de.webp
1814,"Oring 15,1x2,7",Fijaciones,33,,https://http2.mlstatic.com/D_Q_NP_2X_735261-CBT108836001427_032026-E-sellos-hidraulicos-con-junta-torica-nbr-90-sello-de-goma-de.webp
1815,"Oring 15,54x2,62",Fijaciones,33,,https://http2.mlstatic.com/D_Q_NP_2X_735261-CBT108836001427_032026-E-sellos-hidraulicos-con-junta-torica-nbr-90-sello-de-goma-de.webp
1816,"Oring 16,9x2,7",Fijaciones,33,,https://http2.mlstatic.com/D_Q_NP_2X_735261-CBT108836001427_032026-E-sellos-hidraulicos-con-junta-torica-nbr-90-sello-de-goma-de.webp
1817,"Oring 17,13x2,62",Fijaciones,33,,https://http2.mlstatic.com/D_Q_NP_2X_735261-CBT108836001427_032026-E-sellos-hidraulicos-con-junta-torica-nbr-90-sello-de-goma-de.webp
1818,"Oring 18,4x2,7",Fijaciones,33,,https://http2.mlstatic.com/D_Q_NP_2X_735261-CBT108836001427_032026-E-sellos-hidraulicos-con-junta-torica-nbr-90-sello-de-goma-de.webp
1819,"Oring 18,72x2,62",Fijaciones,33,,https://http2.mlstatic.com/D_Q_NP_2X_735261-CBT108836001427_032026-E-sellos-hidraulicos-con-junta-torica-nbr-90-sello-de-goma-de.webp
