69	Adaptador 3/8 Hembra Izquierda
68	Adaptador Schuko con T 10a Negro Mec 0273
1648	Adaptador Schuko con T 10a Negro Mec 0273
79	Alargador 3m
80	Alargador 5m
101	Ampolleta LED 12w/10 UN (Keaton)
102	Ampolleta LED 9w Sensor Movimiento (Keaton)
103	Ampolleta Luz Calida 6w (Keaton)
166	Automatico 10 Amp Lexo
167	Automatico 16 Amp Lexo
168	Automatico 20 Amp Lexo
169	Automatico 25 Amp Lexo
170	Automatico 32 Amp Lexo
188	Barra Toma Tierra 1mt 5/8
291	Cable Bateria 150a
292	Cable Bateria Uyu 400a (Cba40u)
293	Cable Nya 1,5 Blanco (1mt)
294	Cable Nya 1,5 Rojo (1mt)
295	Cable Nya 1,5 Verde (1mt)
296	Cable Nya 2,5 Blanco (1mt)
297	Cable Nya 2,5 Rojo (1mt)
298	Cable Nya 2,5 Verde (1mt)
299	Cable Puente de Bateria
311	Caja Chuqui
312	Caja de Distribucion Naranja Embutida con Oreja
315	Caja Tabique Negra
338	Canaleta 20x10 con Adhesivo x 2 Mts
339	Canaleta 20x10 sin Adhesivo x 2 Mts
375	Cautin Electrica 30w Punta Lapiz Stanford
376	Cautin Punta 60w Keaton
388	Cerradura Sobreponer con Caja Sh212 con Macizo Elproin
418	Cinta Aisladora Negra Wurth 20 Metros
435	Cinta Aisladora Temflex Azul 9mtx19mm 3m
436	Cinta Aisladora Temflex Blanco 9mtx19mm 3m
437	Cinta Aisladora Temflex Roja 9mtx19mm 3m
420	Cinta Aislante Negra 10yardas
421	Cinta Aislante Negra 19mm X10mts Wurth
423	Cinta Color Amarilla 420
509	Cordon Svt 3x2,5 Negro (1mt)
523	Curva Electrica 16mm
