524	Curva Electrica 20mm
540	Diferencial 25 Amp Lexo
541	Diferencial Lexo
586	Display 2un Pila Duracell Alcalina D
587	Electrodo Delta 6011 1/8
596	Enchufe Doble Embutido 10A (3917/4917)
588	Enchufe Doble Embutido Blanco 10/16a Mec 0509
589	Enchufe Doble sin P Blanco 10a Mec 0542
597	Enchufe Hembra
598	Enchufe Hembra 10 Acero
599	Enchufe Macho 16 Acero
600	Enchufe Rosi Hembra 10am 250v + T Blanco
601	Enchufe Rosi Macho 10am 250v 2p +t Blanco
591	Enchufe Simple Embutido 10A Titanium (4916/3916)
592	Enchufe Simple Embutido Blanco 10/16a Mec 0505
590	Enchufe Simple Embutido Blanco 10a 0501 Mec
593	Enchufe Simple sin Placa Blanco 10a 0541 Mec
602	Enchufe Triple Embutido Blanco 10/16a Mec 0510
594	Enchufe Triple Embutido Compacto 10a Mec 0556
603	Enchufe Triple Ladron
595	Enchufe Triple sin Placa Blanco 10a 0543 Mec
664	Extencion Punta PH
702	Fusibles Varios
783	Int.conm.9/24 Embutido Blanco 10a Mec (0264)
791	Interruptor 9/12 + Toma Corriente Embutido Blanco
784	Interruptor Doble 9/15 Embutido Blanco 10a Mec (0264)
792	Interruptor Doble 9/15 Embutido Blanco Mec
785	Interruptor Simple 9/12 Embutido Blanco Mec 10a (0261)
786	Interruptor Simple Embutido 10A Titanium Stanford 4911
787	Interruptor Triple Embutido 10A Titanium Stanford 4913
814	Lampara Mecanica
905	Macho Convertible con Tierra 10a Blanco Kalop
1807	Macho Convertible con Tierra 10a Negro Kalop
1020	Pasta Soldar 100g
1021	Pasta Soldar 50g
1022	Pasta Soldar con Soldadura 1m/10cj
1082	Pila Alcalina Duracell-aa (1unidad)
1083	Pila Alcalina Duracell-aaa (1unidad)
1084	Pila Eveready Carbon Aa
1085	Pila Eveready Carbon Aaa
