1842	Oring 5,28x1,78
1843	Oring 5,7x1,9
1844	Oring 6,07x1,78
1845	Oring 7,2x1,9
1846	Oring 7,66x1,78
1847	Oring 8,9x1,9
1848	Oring 8,9x2,7
1849	Oring 9,25x1,78
982	Ovillo Algodon T-50
983	Ovillo Plastico T-100
984	Ovillo Plastico T-800
985	P. Hex G2 Unc 1/2 13x2
986	P. Hex G2 Unc 1/2 13x3
987	P. Hex G2 Unc 1/2 13x4
988	P. Hex G2 Unc 1/4-20x1
989	P. Hex G2 Unc 1/4-20x2
990	P. Hex G2 Unc 1/4-20x3
991	P. Hex G2 Unc 1/4-20x4
992	P. Hex G2 Unc 3/8 16x1
993	P. Hex G2 Unc 3/8 16x2
994	P. Hex G2 Unc 5/16x18x3
995	P. Hex G2 Unc 5/16x18x4
996	P.hex G2 Unc 1/2 13/1
997	P.hex G2 Unc 3/8 16/3
998	P.hex G2 Unc 3/8 16/4
1043	Perno Ancl 5 1/6 x 4
1044	Perno Ancl 5 1/6x41/4
1045	Perno Anclaje 3/8x3
1046	Perno Anclaje 3/8x3 1/2
1047	Perno Anclaje 3/8x3 3/4
1048	Perno Anclaje 3/8x4
1049	Perno Anclaje 3/8x41/4
1050	Perno Anclaje 5/16x 2.3/4
1051	Perno Anclaje 5/16x2
1052	Perno Coche 1 /4x2 1/2
1053	Perno Coche 1/4 x 3 1/2 Pulgada
1054	Perno Coche 1/4x1
1055	Perno Coche 1/4x1 1/2
1056	Perno Coche 1/4x1 1/4 Pulgada
1057	Perno Coche 1/4x1 Pulgada
