1058	Perno Coche 1/4x2
1059	Perno Coche 1/4x2. 1/2
1060	Perno Coche 1/4x3
1061	Perno Coche 5/16 x 1 1/4
1062	Perno Coche 5/16 x 3
1063	Perno Coche 5/16x1 1/2
1064	Perno Coche 5/16x2
1065	Perno Coche 5/16x2 1/2
1066	Perno Coche Negro 5/16x3
1178	Punta Corona 16 Tolmat
1879	Punta Corona 16 Tolmat
1179	Punta Corona 18 Tolmat
1880	Punta Corona 18 Tolmat
1881	Punta Corona 19
1180	Punta Corona 19
1181	Punta Corona 32 Tolmat
1882	Punta Corona 32 Tolmat
1182	Punta Corona 9 Tolmat
1883	Punta Corona 9 Tolmat
1884	Punta Hexagonal 1/4 65mm
1183	Punta Hexagonal 1/4 65mm
1885	Punta Hexagonal 3/8 65mm
1184	Punta Hexagonal 3/8 65mm
1886	Punta Hexagonal 5/16 65mm
1185	Punta Hexagonal 5/16 65mm
1887	Punta Ph2 Corta Tolmat
1186	Punta Ph2 Corta Tolmat
1888	Puntas Phillips Destornil 10un (Keaton)
1187	Puntas Phillips Destornil 10un (Keaton)
1889	Puntilla con Tope Doble con Iman 65mm
1188	Puntilla con Tope Doble con Iman 65mm
1189	Puntilla Corta Ph2
1890	Puntilla Corta Ph2
1901	Remachadora 10.5 (Roy)
1200	Remachadora 10.5 (Roy)
1199	Remachadora 10" Tolmat
1900	Remachadora 10" Tolmat
1201	Remachadora 9.5 (Roy)
1902	Remachadora 9.5 (Roy)
1202	Remachadora Uyustool
