1903	Remachadora Uyustool
1203	Remache 4.0x14
1904	Remache 4.0x14
1204	Remache 4.0x15
1905	Remache 4.0x15
1205	Remache 4.0x19
1907	Remache 4.0x22mm
1206	Remache 4.0x22mm
1207	Remache 4.8x20mm
1908	Remache 4.8x20mm
1208	Remache 4.8x25
1909	Remache 4.8x25
1209	Remache 4x8
1210	Remaches 4.8x21mm
1911	Remaches 4.8x21mm
1954	Rueda Porton con Perno 3 1/2 Und.
1273	Set 3 Broca Conica Escalonada 4-32
1979	Set 3 Broca Conica Escalonada 4-32
1275	Set Anclaje W.c. Taumm
1982	Set Anclaje W.c. Taumm
1277	Set Broca Escalona 3pcs Uyu
1984	Set Broca Escalona 3pcs Uyu
1278	Set Broca Madera 300mm
1985	Set Broca Madera 300mm
2098	Tar.clav.nyl. 6.0x35
1389	Tar.clav.nyl. 6.0x35
2099	Tar.clav.nyl. 6.0x60
1390	Tar.clav.nyl. 6.0x60
2100	Tar.clav.nyl. 6.0x80
1391	Tar.clav.nyl. 6.0x80
1392	Tar.clav.nyl. 8.0x100
2101	Tar.clav.nyl. 8.0x100
2102	Tar.clav.nyl. 8.0x120
1393	Tar.clav.nyl. 8.0x120
1394	Tar.clav.nyl. 8.0x140
2103	Tar.clav.nyl. 8.0x140
1395	Tar.clav.nyl. 8.0x60
2104	Tar.clav.nyl. 8.0x60
2105	Tar.clav.nyl. 8.0x80
1396	Tar.clav.nyl. 8.0x80
