747	Guante Multiprotec Flex Gris T/9
748	Guante Multiprotec Flex L-1000 T/10
749	Guante Multiprotec Flex Naranjo T/8
750	Guante Multiprotec Flex Naranjo T/9
751	Guante Multiprotec Flex Negro T/10
752	Guante Multiprotec Flex Negro T/7
753	Guante Multiprotec Impacto L-9100 T/10
754	Guante Multiprotec-flex Azul T/8
755	Guante Multiprotec-impacto L-9100 T/9
756	Guante Parrillero 30cm Resistente Al Calor Grillte
757	Guante Soldador Rojo 14" Ferrawyy
811	Kit Lente Standard Ambar con Cordon
809	Kit Soldador Cuero Talla L
810	Kit Soldador Cuero Talla Xl
834	Lente Daumer L 600 Amarillo
835	Lente Seguridad Ambar
836	Lente Seguridad Gris
837	Lente Seguridad Transparente
946	Mascara de Soldar Fotosensible Aguila Star
947	Mascara de Soldar Fotosensible Terminator
948	Mascara Soldar Negra
978	Overol Piloto Cinta Azul T/l
979	Overol Piloto Cinta Azul T/m
980	Overol Piloto Cinta Azul T/s
981	Overol Talla S
1013	Pantalon Cargo Azul T/m
1014	Pantalon Cargo Azul T/xl
1136	Polaina Descarne
1137	Polaina Soldador Descarne con Hilo Kevlar
1176	Protector de Oido Tipo Cintillo Imp
1213	Repuesto Interior Mascara Fotosensible 10x4,7cm
1214	Respirador (Doble Repuesto)
1262	Seguro Cadena para Puerta
1386	Tapon Daumer Oido Silicona con Cordon Cajita Plast
1388	Tapon Reductor Ruido Silic con Cord
1605	Vidrio Claro
1606	Vidrio Negro #10
1607	Vidrio Negro #11
1608	Vidrio Nº 12
