69	Adaptador 3/8 Hembra Izquierda
68	Adaptador Schuko con T 10a Negro Mec 0273
1648	Adaptador Schuko con T 10a Negro Mec 0273
79	Alargador 3m
80	Alargador 5m
101	Ampolleta LED 12w/10 UN (Keaton)
102	Ampolleta LED 9w Sensor Movimiento (Keaton)
103	Ampolleta Luz Calida 6w (Keaton)
166	Automatico 10 Amp Lexo
167	Automatico 16 Amp Lexo
168	Automatico 20 Amp Lexo
169	Automatico 25 Amp Lexo
170	Automatico 32 Amp Lexo
188	Barra Toma Tierra 1mt 5/8
291	Cable Bateria 150a
292	Cable Bateria Uyu 400a (Cba40u)
293	Cable Nya 1,5 Blanco (1mt)
294	Cable Nya 1,5 Rojo (1mt)
295	Cable Nya 1,5 Verde (1mt)
296	Cable Nya 2,5 Blanco (1mt)
297	Cable Nya 2,5 Rojo (1mt)
298	Cable Nya 2,5 Verde (1mt)
299	Cable Puente de Bateria
311	Caja Chuqui
312	Caja de Distribucion Naranja Embutida con Oreja
315	Caja Tabique Negra
338	Canaleta 20x10 con Adhesivo x 2 Mts
339	Canaleta 20x10 sin Adhesivo x 2 Mts
375	Cautin Electrica 30w Punta Lapiz Stanford
376	Cautin Punta 60w Keaton
388	Cerradura Sobreponer con Caja Sh212 con Macizo Elproin
418	Cinta Aisladora Negra Wurth 20 Metros
435	Cinta Aisladora Temflex Azul 9mtx19mm 3m
436	Cinta Aisladora Temflex Blanco 9mtx19mm 3m
437	Cinta Aisladora Temflex Roja 9mtx19mm 3m
420	Cinta Aislante Negra 10yardas
421	Cinta Aislante Negra 19mm X10mts Wurth
423	Cinta Color Amarilla 420
509	Cordon Svt 3x2,5 Negro (1mt)
523	Curva Electrica 16mm
524	Curva Electrica 20mm
540	Diferencial 25 Amp Lexo
541	Diferencial Lexo
586	Display 2un Pila Duracell Alcalina D
587	Electrodo Delta 6011 1/8
596	Enchufe Doble Embutido 10A (3917/4917)
588	Enchufe Doble Embutido Blanco 10/16a Mec 0509
589	Enchufe Doble sin P Blanco 10a Mec 0542
597	Enchufe Hembra
598	Enchufe Hembra 10 Acero
599	Enchufe Macho 16 Acero
600	Enchufe Rosi Hembra 10am 250v + T Blanco
601	Enchufe Rosi Macho 10am 250v 2p +t Blanco
591	Enchufe Simple Embutido 10A Titanium (4916/3916)
592	Enchufe Simple Embutido Blanco 10/16a Mec 0505
590	Enchufe Simple Embutido Blanco 10a 0501 Mec
593	Enchufe Simple sin Placa Blanco 10a 0541 Mec
602	Enchufe Triple Embutido Blanco 10/16a Mec 0510
594	Enchufe Triple Embutido Compacto 10a Mec 0556
603	Enchufe Triple Ladron
595	Enchufe Triple sin Placa Blanco 10a 0543 Mec
664	Extencion Punta PH
702	Fusibles Varios
783	Int.conm.9/24 Embutido Blanco 10a Mec (0264)
791	Interruptor 9/12 + Toma Corriente Embutido Blanco
784	Interruptor Doble 9/15 Embutido Blanco 10a Mec (0264)
792	Interruptor Doble 9/15 Embutido Blanco Mec
785	Interruptor Simple 9/12 Embutido Blanco Mec 10a (0261)
786	Interruptor Simple Embutido 10A Titanium Stanford 4911
787	Interruptor Triple Embutido 10A Titanium Stanford 4913
814	Lampara Mecanica
905	Macho Convertible con Tierra 10a Blanco Kalop
1807	Macho Convertible con Tierra 10a Negro Kalop
1020	Pasta Soldar 100g
1021	Pasta Soldar 50g
1022	Pasta Soldar con Soldadura 1m/10cj
1082	Pila Alcalina Duracell-aa (1unidad)
1083	Pila Alcalina Duracell-aaa (1unidad)
1084	Pila Eveready Carbon Aa
1085	Pila Eveready Carbon Aaa
1087	Pilas Calefonenergizer (Par)
1156	Porta Electrodo 300amp
1157	Porta Electrodo Ferrawy 500a
1171	Probador de Voltaje 3*140mm Tolmat
1172	Probador de Voltaje 4*190mm Tolmat
1173	Probador de Voltaje Chico 120mm
1174	Probador de Voltaje Grande 20mm
1175	Probador de Voltaje Mediano 140mm
1260	Salida Caja 16mm
1261	Salida Caja 20mm
1322	Soldadura 6011 1/8 Myh
2030	Soldadura 6011 1/8 Ok
1323	Soldadura 6011 1/8 Ok
1324	Soldadura 6011 3-32 Myh
2032	Soldadura 6011 3-32 Ok
1325	Soldadura 6011 3-32 Ok
1327	Soldadura 7018 1/8 M y H
1326	Soldadura 7018 1/8 Ok
1328	Soldadura 7018 3/32 Ok
1372	Tapa Ciega
1436	Tester Digital Tsd 830
1437	Tester Electrico con Sonido (Keaton)
1458	Toma Corriente Hembra Doble Blanco Mec
1459	Toma Corriente Hembra Simple Embutido Blanco Mec
1577	Tubo Electrica Conduit 16mm
1578	Tubo Electrica Conduit 20mm
