64	Acople Rapido 1/2*1/2 UYUS (Acj140)
65	Acople Rapido para Llave 3/4
66	Acople Rapido Simple 1/2 Hoffens
67	Acople Recto 20x10 (Blanco)
81	Algicida 5 Lt
145	Anticucho Niquelado Pack 6 UN Grilltech
151	Aspersor Impacto
171	Baja PH Pote 1 KG
364	Carretilla Estand con Rueda Pantera Azul 90 L 350x8
365	Carretilla Estandar Bas 350x8 60l Verde
431	Cinta Teflon para Agua 1/2 x 10mt Streto
432	Cinta Teflon para Agua 3/4 x 10mt Streto
433	Cinta Teflon para Gas 1/2 Seal
434	Cinta Teflon para Gas 3/4 Seal
457	Cloro Granulado Pote 1 KG
458	Cloro Liquido Bidon 5 Lt
459	Cloro Muntifuncional Pote 1 KG
460	Cocinilla Camping 1 Plato
528	Decantador Pote 1 KG
612	Escobilla Acero 6 Fila Rectangular 6x19
610	Escobilla Acero con M 70x180 6 Hilo
611	Escobilla Bronce con Mango Plastico Uyu
1796	Escobilla Chimenea 4 UYUS
1797	Escobilla Chimenea 4.5 UYUS
614	Escobilla Chimenea 4.5" UYUS
613	Escobilla Chimenea 4" UYUS
615	Escobilla Chimenea 5" UYUS
616	Escobilla para Chimenea 5"
617	Escobillon con Mango
618	Escobillon Municipal con Mango
701	Fumigador 16 Lts
710	Gas But Camping 227 Grs
711	Gas Butano 190grs
808	Kit Riego 4pcs
812	Klerat Pellet 50g/10bol
895	Llave Jardin Bce.1/2 Hehe Streto
896	Llave Jardin Bola 1/2 Taumm
928	Mango Pala con Asa Metalica
929	Manguera Gas 1/2" x 1 Metro
930	Manguera Gas 3/8 x 1 Metro
931	Manguera Gas Goma 1,5 Mts
932	Manguera Jardin Bicolor 1/2 x Metro
933	Manguera Jardin Bicolor 3/4 x Metro
934	Manguera Jardin Rollo 3/4 20mts
935	Manguera Nivel 1/2 x 1mts
960	Neumatico Pantanero 350x8
1002	Pala Carbonera Cuadrada Mango Madera
1003	Pala Carbonera Force
1004	Pala Jardin Mango Madera
1005	Pala para Carbon General
1006	Pala Punta Huevo Mango Metalico
1007	Pala Redonda M/madera Force
1015	Parrilla Criolla con Roldana
1026	Pega Raton
1079	Picota Pta/rama sin M 6l
1190	Rastrillo Jardinero
1195	Refrig. Anticorrosivo-3 Rojo
1196	Regulador de Gas Cemco
1998	Set Riego Pistola 4 Pzs
1291	Set Riego Pistola 4 Pzs
1319	Soda Caustica 1/2 KG Escamas
1320	Soda Caustica 1/2 Perlas
1321	Soda Caustica 1kg
1329	Sombrilla Parabrisas
1439	Tijera 9.75" UYUS
1440	Tijera Cocina 9180 KEATON
1441	Tijera Corta Alambre (Keaton)
1442	Tijera Hojalatera 10 Recta
1443	Tijera Multiuso 8" Display Importada
2153	Tijera Pasto Mango Madera
1444	Tijera Pasto Mango Madera
1445	Tijera Podar Curva 8"
1499	Trampas Raton Zincado
1591	Union Manguera 1/2
1592	Union Manguera 1/2 x 3/4 Hoffens
2303	Union Manguera 1/2 x 3/4 Hoffens
1593	Valv.compresor 20cem. Hoffens 1/2
