366	Carros Aereo Doble D-100 Ducasse Par
1798	Fraguador para Ceramica 15cm
1799	Fraguador para Ceramica 25cm
1800	Guia 25mm Bronce Hilo 1/2 Ducasse
1801	Guia 25mm Nylon Hilo 1/2x13 Ducasse
1802	Guia 35mm Bronce Hilo 5/8 Ducasse
1803	Guia Nylon de 25x30
758	Guia para Porton 25mm
759	Guia para Porton Doble ( Pivote ) 139mm
1804	Guia PG 35mm Bronce Ducasse
1853	Pivote 4" para Puertas Corredera
1105	Pivote Guia de 30 a 41
1106	Pivote Guia para Rueda Porton 10cm Importado
1146	Pomel (Par) 3/8
1147	Pomel 1 x 104mm 1 UN Lioi
1148	Pomel 1" (Par) Elproin
1149	Pomel 1/2 x 77mm 1 UN Lioi
1150	Pomel 3/4 (Par ) con Ala
1151	Pomel 3/4 x 95mm 1 UN Lioi
1152	Pomel 3/8 x 68mm 1 UN Lioi
1153	Pomel 3/8"x76mm con Ala 1 Un.
1154	Pomel 5/8 x 86mm 1 UN Lioi
1155	Pomel 5/8x30x97mm con Ala 1 UN
1215	Riel de Corredera U-100 6 M Acero Ducasse
1230	Rueda 100mm con Pasador por Und
1231	Rueda 50mm con Pasador por Und
1232	Rueda 64mm con Pasador por Und
1233	Rueda 75mm con Pasador por Und
1234	Rueda 85mm con Pasador por Und
1235	Rueda Carretilla 350x8
1940	Rueda Carretilla 350x8
1941	Rueda con Base 2 1/2" (60mm) por Und
1236	Rueda con Base 2 1/2" (60mm) por Und
1237	Rueda con Base 2" (50mm) por Und
1942	Rueda con Base 2" (50mm) por Und
1238	Rueda con Base 3 1/2" (90mm) por Und
1239	Rueda con Base 3" (70mm) por Und
1945	Rueda con Base 4 por Und
1240	Rueda Goma con Base Fija 2 1/2" x Und
1241	Rueda Goma con Base Fija 2" x Und
1242	Rueda Goma con Base Giratoria 2 1/2" x Und
1949	Rueda Goma con Base Giratoria 2" x Und
1243	Rueda Goma con Base Giratoria 2" x Und
1244	Rueda Goma con Base Giratoria 3" x Und
1245	Rueda Goma con Base Giratoria 4" x Und
1246	Rueda Goma con Base Giratoria 5" x Und
1247	Rueda Pantanera 350x8
1248	Rueda Porton con B 4 por Und
1955	Rueda Porton con Perno 2.5" Un.
1249	Rueda Porton con Perno 2.5" Un.
1250	Rueda Porton con Perno 3 Unidad
1956	Rueda Porton con Perno 3 Unidad
1251	Rueda Porton sin B 2 por Und
1252	Rueda Porton sin B 4 ( Par)
1253	Ruedas con Base 4" (Par)
1959	Ruedas con Perno 4" (Par)
1254	Ruedas de 50mm (2") 75 KG Elpro (Par)
1255	Ruedas de 64mm (2 1/2) Elproin (Par)
2169	Tope para Porton Zincado
