1	Fierros Construccion	fierro estriado construccion barras acero
4	Herramientas y Maq	set caja herramientas surtido
10	Fijaciones	tornillos pernos tuercas surtido
11	Cerraduras	candado cerradura puerta
12	Quincalleria	bisagras ruedas quincalleria
13	Adhesivos y Sellantes	silicona adhesivo sellador
14	Aditivos e Impermeabilizantes	impermeabilizante aditivo construccion
15	Aislacion	lana vidrio aislacion termica rollo
16	Tabiqueria	plancha volcanita osb tabiqueria
17	Techumbre	plancha zinc acanalada techo
18	Pinturas	tarros pintura brochas colores
19	Electricidad e Iluminacion	materiales electricos cables enchufes
20	Jardin	herramientas jardin riego
21	Seguridad Industrial	casco guantes lentes proteccion personal
22	Cementos y Aridos	sacos cemento construccion
23	Maderas	tablas madera pino dimensionada
24	Gasfiteria	tubos pvc fitting gasfiteria
25	Otros	carbon asado parrilla
26	Cercos y Mallas	malla acma rollo alambre cerco
27	Perfiles y Planchas	perfiles metalicos metalcon
28	Bano Cocina y Loggia	griferia bano cocina llave
29	Techumbres	plancha zinc acanalada techo
